planning_room_id,planning_room_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std
1200627,Zillesiedlung,813,771,634,15,14,18,359,6,576.4783393501805,535.0,185.54445683245763,454.55555555555554,459.0,41.34643609524015,507.6666666666667,485.0,88.61574352224325,655.4285714285714,636.0,162.48369881607317,706.5565714285714,714.804,124.17504335930676,791.6428571428571,760.0,245.27774120304994
1200628,Lüneburger Straße,1856,1691,1530,17,120,35,956,60,548.887038377987,503.0,202.23618416828145,417.8,423.5,103.80301858167067,512.0421052631579,469.0,140.60733885612643,708.6629213483146,687.0,160.72816858824837,792.4961714285714,788.5765,117.01284161212435,731.6,520.0,393.7131460585363
1200629,Hansaviertel,774,716,591,17,29,24,302,14,605.9865642994242,568.0,178.1038855553242,469.6666666666667,461.5,76.43456302120413,603.85,556.5,189.81522178437805,646.6315789473684,602.0,158.55675833604536,700.6643999999999,682.324,96.66005933372895,835.2380952380952,548.0,415.6787106362202
1300730,Drontheimer Straße,1244,983,795,20,47,32,350,6,645.6965986394558,611.0,192.02352596804326,511.88235294117646,496.0,83.88823096309545,611.7586206896551,623.0,133.6340031505064,768.9047619047619,731.0,169.07865174583836,887.9438999999999,792.9780000000001,264.7211135694192,1040.1304347826087,888.0,458.52751521957623
1300731,Koloniestraße,1003,931,744,14,33,32,266,11,691.3240058910162,636.0,227.928036561095,552.5384615384615,560.0,122.73522679913823,607.6521739130435,607.0,109.80834903497346,802.4117647058823,819.0,94.07115579677534,750.6531818181818,745.757,83.11877615535276,1004.1538461538462,916.5,390.9432380597155
1300732,Soldiner Straße,1100,1014,807,16,33,41,323,8,668.3274215552524,617.0,200.7041205725249,569.0769230769231,506.0,230.35424225109665,592.3157894736842,596.0,109.18692057994396,779.578947368421,745.0,203.4765385846387,833.0964,795.733,228.1518503054977,1051.2068965517242,1101.0,413.2734635383993
1300733,Gesundbrunnen,1543,1429,1161,12,48,52,601,13,617.1251175917215,577.0,189.73978205905985,518.8888888888889,559.0,89.37203763544339,577.0,552.0,182.78068217888276,810.6153846153846,681.5,367.40234914034795,780.0113124999999,739.1315,213.49493230167275,1013.8837209302326,991.0,437.50979359391135
1300834,Brunnenstraße,2195,2015,1668,26,89,69,910,33,600.4442231075698,550.0,201.2093004837423,486.75,502.0,112.43003672459926,589.9166666666666,569.5,146.67687491149655,699.8448275862069,618.0,199.69097193168844,805.4948974358975,795.163,148.89304635892785,904.2727272727273,637.0,488.9595323157369
1300835,Humboldthain Süd,1410,1284,1056,24,56,47,597,8,597.9341692789968,549.0,193.86839034446476,494.05263157894734,474.0,82.62127361522073,569.1395348837209,552.0,159.2623743260441,725.3928571428571,661.0,216.26190214057655,934.6124666666666,865.15,282.9845632495744,956.9473684210526,673.0,493.4225176649658
1300836,Humboldthain Nordwest,2313,2106,1709,37,71,113,1023,16,557.0185540627,511.0,219.15368653960667,412.0357142857143,411.0,87.29027018998893,532.3636363636364,489.0,156.5783986570441,703.9354838709677,680.0,180.05109191261442,766.8551904761905,712.454,219.19821990144428,826.183908045977,697.0,429.4472523241191
1400937,Afrikanische Straße,1447,1324,1103,31,53,62,496,14,630.4452191235059,602.0,189.48114595661673,517.8,471.5,126.35238081623565,625.3666666666667,608.0,141.12979678377593,809.2727272727273,786.0,150.39255991544954,765.1684666666667,759.93,89.26737880008623,887.9473684210526,841.0,359.8283033541647
1400938,Kameruner Straße,2367,1085,869,18,52,55,424,9,605.9641025641025,577.0,196.96862836056815,492.6,460.0,135.3665922069189,611.3076923076923,614.0,112.33061021779785,766.28125,739.5,142.2025439577806,885.9392499999999,776.502,329.2935606736239,939.609756097561,934.0,373.5539370725987
1400939,Glasgower Straße,793,714,575,14,46,24,330,11,559.8216318785579,521.0,197.5680815100264,422.5,430.5,107.85799068147966,510.72727272727275,462.0,144.35595604426769,761.5,762.5,244.87973978367776,865.9237333333333,716.93,360.7511332108657,672.3,498.5,333.88638155737004
1400940,Schillerpark,1036,966,799,18,29,38,432,7,596.4225352112676,546.0,199.53159266921188,533.4117647058823,487.0,169.6198170997162,526.3181818181819,507.5,117.1415043211928,699.4375,652.0,185.4065690134342,713.751,688.987,102.00943133847964,794.6551724137931,745.0,395.6297218957274
1400941,Londoner Straße,578,553,464,18,12,9,223,2,623.983606557377,596.0,169.7133103555665,529.25,541.0,109.98636279102969,643.125,563.5,218.09987063597396,750.1428571428571,801.0,122.86093571111007,798.6113333333333,769.577,98.90800274160497,779.75,784.5,292.20626276656014
1400942,Westliche Müllerstraße,1121,1028,867,14,43,42,477,18,579.382842509603,544.0,194.38811471162666,447.44444444444446,433.0,74.02720971222527,545.75,514.0,129.21549892056416,766.1,762.5,147.98004292284912,764.89015,751.8720000000001,116.04449912460984,928.59375,922.0,392.5575248065664
1401043,Antonstraße,1045,976,754,20,28,25,438,4,566.3323485967504,528.0,200.81854029590122,419.05555555555554,429.0,101.35811422999858,488.1111111111111,475.5,77.65374797885417,666.6363636363636,597.0,156.4623103033269,750.6765,778.7195,89.39604981019389,895.0454545454545,847.5,362.38068345354685
1401044,Uferstraße,1270,1174,958,19,28,55,519,7,587.6417050691244,550.0,207.56827803509614,474.7142857142857,428.5,180.75458439613578,505.04761904761904,467.0,134.34860482732083,782.0909090909091,764.0,200.2056215721499,723.6641428571428,714.024,82.30078942397533,867.7560975609756,713.0,423.06830302492557
1401045,Schwedenstraße,957,891,742,14,18,37,410,5,604.177347242921,563.0,202.48260620222405,479.3333333333333,482.5,92.69631093310058,641.25,589.5,180.79803254302456,661.5,622.0,113.77672370543486,710.0845999999999,746.58,73.63305772070042,820.53125,674.5,331.9546203318722
1401046,Nordufer,780,704,579,13,31,34,329,8,601.3290203327172,564.0,181.8311968220586,476.6666666666667,496.0,86.7989666186217,598.3181818181819,570.5,128.38164323744388,694.1111111111111,711.0,87.04622767032463,737.5695,708.287,169.8778767875126,793.8,725.5,285.3622501192186
1401047,Sparrplatz,1013,952,812,18,19,32,477,6,565.6002766251729,520.0,202.61183594845937,416.4,429.0,80.35794920230356,586.4615384615385,510.0,348.6138301388839,695.6363636363636,709.0,87.90935414081112,764.2895,783.655,98.74327780613724,940.0769230769231,992.5,377.94951229781185
1401048,Leopoldplatz,1220,1125,915,24,39,46,539,7,581.8696172248804,537.0,195.34919689744322,483.8636363636364,481.0,110.56620316075471,547.2,506.0,128.33614715529941,791.4705882352941,830.0,180.6768931155347,849.560125,878.6865,79.57395894824151,985.5526315789474,1009.0,381.480239109086
1401049,Schulstraße,1561,1242,1023,33,35,25,602,8,587.0639658848614,538.0,205.8590511627336,457.75,444.5,112.46715569939124,543.6,528.0,111.27480996763522,699.125,696.0,146.02480804718553,722.183,735.8715,66.02401335877731,852.6315789473684,680.0,420.9044772241897
2100101,Askanischer Platz,1109,977,802,23,70,45,459,30,596.4843962008141,558.0,169.9731279535072,532.5555555555555,521.0,145.93561119335845,565.5102040816327,581.0,89.78797303670922,730.8780487804878,707.0,140.80344369402886,764.3206562500002,735.9190000000001,104.70827989801286,749.7894736842105,770.5,213.06224923332653
2100102,Mehringplatz,1451,1282,1053,14,106,49,640,29,564.3494105037513,535.0,162.14012012403555,402.1111111111111,382.0,72.11179592210355,582.3571428571429,537.5,186.0183721239437,738.296875,669.5,207.88471161538715,807.4944594594596,742.697,212.67895490772977,747.7692307692307,658.0,295.3407008095156
2100103,Am Berlin Museum,576,516,413,5,23,26,279,6,547.5347593582887,514.0,156.20374959995047,449.2,446.0,47.336032786873886,512.2941176470588,502.0,111.90998877774625,672.0,609.5,150.6110630322099,767.3718333333335,801.117,119.35442404773552,743.7619047619048,563.0,361.1384644096922
2100104,Moritzplatz,938,836,694,29,46,45,460,7,541.9934747145188,514.0,165.31851794536428,458.85,456.5,89.23845937475022,576.7352941176471,530.0,193.87395293248764,660.32,595.0,250.5091016310585,664.5232857142857,659.203,130.5407898215653,873.4,678.5,415.66331296325603
2100105,Prinzenstraße,1222,1109,899,20,51,49,632,15,513.3828715365239,477.0,167.3265325136536,429.4,385.0,103.0185836217358,490.26666666666665,469.0,191.31395632587152,638.7058823529412,606.0,150.75342645603547,683.14025,625.9665,174.7306656266533,673.9459459459459,567.0,335.28171785877373
2100106,Wassertorplatz,1283,1176,1019,24,49,49,695,13,514.1670403587444,470.0,176.49459287535848,417.5833333333333,412.5,99.31717633496996,514.5294117647059,456.5,177.6786741000352,654.0909090909091,566.5,216.17473291648852,625.1410714285714,591.063,153.91780115196568,743.125,712.0,371.35981497664386
2200207,Gleisdreieck,375,321,295,3,44,9,144,19,619.6984732824427,579.5,182.9346257974904,457.5,457.5,4.949747468305833,624.4871794871794,631.0,149.947863183889,793.0,769.0,212.7156345369813,858.3191851851852,800.373,216.66077980070366,930.1666666666666,893.5,223.9575108512029
2200208,Rathaus Yorckstraße,806,729,630,15,36,35,407,13,552.7417102966841,519.0,170.73414993203275,465.8333333333333,470.5,124.80153942329495,638.8148148148148,562.0,285.71395553501475,702.8095238095239,725.0,89.04359552916708,730.3289285714285,740.4605,115.81601072819986,739.4230769230769,658.5,271.4479947359233
2200209,Viktoriapark,884,800,668,12,30,48,432,9,573.192,535.0,163.78951353365008,522.1818181818181,506.0,66.37140676800244,582.4761904761905,560.0,104.43544371889224,810.125,738.0,214.9678658156454,708.0834000000001,674.7985,131.65871154297218,800.4047619047619,699.5,299.44249494961343
2200210,Urbanstraße,1251,1108,937,24,57,73,627,14,509.30778443113775,479.0,165.54031111363344,461.3333333333333,459.0,141.17624918283292,449.2105263157895,429.0,78.97969560991244,711.7916666666666,676.5,148.01673793914296,650.7141428571429,642.4735000000001,66.91610091272979,660.3076923076923,529.0,313.5466434139486
2200211,Chamissokiez,1325,1218,1022,18,44,48,668,16,550.7754880694143,523.5,142.79115645063845,504.06666666666666,491.0,111.15656054583981,557.1428571428571,550.0,86.62805647171838,720.8148148148148,690.0,146.18561358161625,778.5209444444445,736.5365,173.75324726664138,779.6585365853658,723.0,269.6840382518121
2200212,Graefekiez Süd,858,790,673,18,32,29,390,12,572.8766666666667,545.0,174.82712125439534,400.0833333333333,385.5,73.01489055271014,513.9615384615385,494.0,92.01716395074598,697.3684210526316,675.0,94.57754638761652,720.5374166666666,702.8335,95.25779827056714,782.3333333333334,622.0,429.4305295506422
2200213,Graefekiez Nord,1745,1039,874,26,83,56,549,37,552.676129032258,526.0,160.66485616234837,430.05263157894734,431.0,80.45666444615493,537.15,520.0,132.49839461771296,712.1851851851852,694.0,136.47642329722302,792.3662040816324,754.98,144.99572761478464,746.304347826087,645.0,317.427077859552
2300314,Oranienplatz,1269,1156,958,18,62,38,645,15,527.8671411625148,485.0,177.3315704845331,417.6666666666667,417.0,57.328211288368394,548.9142857142857,484.0,214.37081279444567,665.8461538461538,644.5,226.44746716317098,642.5675624999999,614.44,146.36558583080873,629.7931034482758,568.0,235.2477993384764
2300315,Lausitzer Platz,906,808,661,12,42,41,472,12,499.8006872852234,468.0,167.77731368536868,339.0,339.0,100.11867957579145,556.1052631578947,468.0,219.997953206853,582.7058823529412,547.0,219.19020413384192,638.7504166666666,644.9805,119.94060047408192,780.7575757575758,733.0,381.7849550387487
2300316,Köpenicker Straße,773,699,593,16,39,28,402,11,535.8087954110898,494.0,174.04072540281416,440.0833333333333,427.5,108.45565355424674,472.3888888888889,468.0,103.38058691859892,597.4705882352941,545.0,210.32032642111025,686.4375833333334,584.96,225.5493862793522,791.5,751.5,293.5299406993374
2300417,Reichenberger Straße West,1040,943,784,20,41,37,547,8,491.4496350364964,454.0,168.94891573861187,394.0,391.0,94.27863776307727,463.35714285714283,438.0,119.4602721148609,629.9545454545455,658.0,167.03648796502011,686.1632,613.9045,178.36919020690388,806.59375,596.0,452.2604059592074
2300418,Reichenberger Straße Ost,859,757,631,8,56,34,377,9,538.2242990654206,496.0,190.98432727877855,367.2857142857143,378.0,56.83811598365509,499.0869565217391,439.0,156.3402213831565,611.35,580.0,182.9665701418532,773.3874166666666,693.4870000000001,255.414173959743,745.258064516129,692.0,299.63254916001534
2300419,Wrangelkiez,1257,1138,954,18,60,47,592,7,555.6662636033857,508.0,178.4515787742299,464.61538461538464,457.0,84.01442183889071,529.36,473.0,200.88551465946966,682.578947368421,655.0,229.14825763380395,719.839625,653.1835,231.66491322778958,890.5641025641025,768.0,410.5351959315005
2400520,Barnimkiez,1454,958,797,17,39,27,499,19,567.1410788381743,536.0,182.11040306846758,484.07142857142856,471.5,99.81865424991331,588.5925925925926,550.0,137.67862782002354,726.3,688.0,196.90235357177744,729.0291500000001,697.1800000000001,210.55394052263168,823.1904761904761,589.0,418.52032436282224
2400521,Friedenstraße,873,793,661,22,29,40,429,9,542.2825342465753,506.5,174.01400932271181,494.57142857142856,459.0,129.90941899206982,616.0555555555555,582.0,199.5357766010668,726.1818181818181,714.0,194.85164519799068,696.079,730.213,111.9285527289619,968.4333333333333,871.0,485.46015734333554
2400522,Richard-Sorge-Viertel,1085,1025,856,19,27,20,521,1,572.3700787401575,533.0,196.5062638818499,462.1875,434.5,96.26991136036915,547.1,496.0,137.7795743610464,769.7777777777778,792.0,87.682349674518,500.237,500.237,,1000.5333333333333,1001.0,405.56853686551926
2400623,Andreasviertel,2684,2511,2162,48,89,70,1497,33,526.7713992824192,488.0,174.57193659991893,446.3333333333333,417.0,110.16058354360088,508.140350877193,489.0,115.97558834828921,582.4716981132076,560.0,143.05480442199348,693.1040810810812,653.144,229.437869393919,867.377358490566,828.0,401.1087147095724
2400624,Weberwiese,1175,1097,898,22,35,28,595,8,501.8170266836086,439.0,210.4069534759875,423.75,407.0,152.0730087819663,475.57142857142856,426.0,180.98137236427715,595.3,583.0,177.9775562432404,706.0422000000001,673.405,215.86194228966494,927.6666666666666,640.0,518.2320265415227
2400625,Wriezener Bahnhof,678,592,530,12,66,19,333,28,541.8203463203463,504.0,186.53178992432996,455.125,464.0,76.39640511362897,605.1764705882352,535.0,213.4970450270779,631.8604651162791,609.0,133.0808170848413,763.6394285714287,694.13,212.27741315140455,973.2,897.0,558.3077208055707
2500726,Hausburgviertel,609,560,467,9,17,27,279,7,582.6214285714286,541.5,182.94996386222823,485.2,452.0,109.9167867070358,546.4545454545455,547.0,40.986250466134706,760.4,784.0,89.93849750431309,712.0844285714286,702.857,129.4257030936503,934.5714285714286,968.0,371.24729917247504
2500727,Forckenbeckplatz,641,527,445,7,69,33,267,7,574.2294264339153,539.0,196.75617457127035,365.6,407.0,81.4297243026157,570.0909090909091,537.0,113.43703199252319,706.125,686.0,186.20557635760179,724.9673333333334,648.903,159.65098547534862,818.24,644.0,422.7838573077264
2500728,Samariterviertel,695,625,522,8,35,23,301,5,602.9450317124736,562.0,196.92597642877092,473.125,476.0,69.13431544051458,648.5263157894736,566.0,169.17852780127228,690.3076923076923,704.0,104.55013519470344,704.4772,756.396,103.58237153444597,1094.05,1179.0,437.6085098518273
2500729,Pettenkofer Straße,856,789,672,14,37,21,331,3,624.220910623946,585.0,185.73217085830052,511.6923076923077,497.0,121.24382088405208,624.2,546.0,140.30181752208344,782.7777777777778,784.0,143.59472289901342,836.8915000000001,847.658,128.87874325245932,961.25,882.0,376.7296997406319
2500830,Niederbarnimstraße,361,322,269,4,21,13,178,2,553.597510373444,501.0,192.80300782692487,412.0,415.0,20.663978319771825,618.3333333333334,573.0,194.50004284489674,746.1428571428571,721.0,159.14398990791176,871.0246666666667,775.367,174.55141114964775,567.5714285714286,609.0,108.33721604763703
2500831,Wismarplatz,557,494,399,9,41,14,249,13,584.841095890411,547.0,194.8853761700697,506.3333333333333,451.0,136.17292927254914,597.3913043478261,559.0,177.39112900092087,707.4090909090909,692.5,144.14895044161756,770.1136666666666,731.42,165.91947235531657,1025.0,892.0,490.312598700507
2500832,Traveplatz,687,612,530,7,43,25,300,16,594.1066945606694,555.0,177.79560709022462,436.0,465.5,134.31753422394263,597.7666666666667,577.5,159.02302659836954,669.4090909090909,612.5,145.84031028455783,767.3608095238096,738.96,169.41195031331733,910.8947368421053,753.0,431.24714424005714
2500833,Boxhagener Platz,884,793,689,12,43,39,434,6,534.6919275123558,493.0,177.58391030370353,390.9,390.0,77.5993270303007,471.94444444444446,450.0,93.64857476521229,624.0625,633.0,169.61779338658232,706.117875,666.2065,207.09803402559828,855.8275862068965,825.0,361.7359009954161
2500834,Revaler Straße,1014,927,787,18,43,24,482,10,555.5681492109039,523.0,184.55683567200944,487.25,471.5,104.64600190301451,590.7037037037037,524.0,207.61110367793526,721.25,676.5,257.46555722638846,661.6011818181818,643.29,154.18079071390065,924.65,740.0,476.63152213710845
2500835,Stralauer Kiez,1330,1193,1058,28,67,52,631,10,577.6219119226638,549.0,183.5669427949741,536.95,521.0,129.87948867680134,583.9583333333334,547.5,145.52707178799557,644.4444444444445,581.0,211.07095659504822,801.1415833333332,734.6945000000001,256.2727261207405,1042.8055555555557,979.5,449.29054038844356
2500836,Stralauer Halbinsel,451,409,344,3,7,23,125,0,649.9744408945687,624.0,151.65718971018873,551.0,574.0,76.1511654539837,744.0,575.0,309.3169895107606,,,,,,,1117.7333333333333,1143.0,382.85328533948626
3100101,Bucher Forst,689,619,511,16,34,29,138,3,712.4302325581396,675.0,202.20953963243346,601.5555555555555,566.0,113.52875308827178,824.2222222222222,780.5,257.1492026398306,878.625,833.5,179.8328390478224,971.1436249999999,929.3050000000001,215.3902315797589,986.3076923076923,863.0,400.5642654671417
3100102,Klinikum Buch,764,478,396,8,23,18,153,2,638.1188118811881,598.0,227.37632343652422,603.1666666666666,603.0,101.71610819662081,681.6428571428571,677.0,120.82447990806725,765.4705882352941,763.0,90.15758263109295,991.846,1009.583,99.45989911718186,834.0909090909091,803.0,189.45683125475026
3100103,Karower Chaussee,1416,1324,1083,27,45,29,509,7,630.1574074074074,572.5,225.17457780504122,543.0625,557.5,106.8428557898624,814.9047619047619,748.0,261.04767854970567,838.3103448275862,809.0,194.40460448843646,895.5588666666666,929.323,106.00738603233982,963.0588235294117,970.0,228.743434492729
3200204,Blankenfelde,320,295,238,7,13,12,70,1,755.0729166666666,717.5,282.315769322584,854.0,705.0,437.723657117136,758.6,603.0,340.36348217750975,664.0,664.0,,748.943,748.943,,707.25,571.0,298.44681268192494
3200205,Uhlandstraße,820,760,621,10,15,32,117,3,749.755877034358,702.0,209.83982868323864,632.25,602.5,150.1967756929936,596.375,568.0,97.39160641451603,710.7777777777778,749.0,126.20001760873271,705.5390000000001,720.164,115.90758625301459,856.8666666666667,929.0,239.79213220342876
3200206,Pastor-Niemöller-Platz,658,614,520,18,11,21,157,2,686.0917030567686,659.5,195.09232594382038,501.07142857142856,497.5,77.60696269884976,579.75,550.5,102.44406139101335,653.5,659.0,80.11429335642922,757.1236666666667,676.28,157.7287082693995,724.7142857142857,658.5,209.37872515957906
